relational_model,0.9698689400
images,0.8600725703
from,0.8570528775
shape,0.8556764155
stereo,0.8556729261
image,0.8556718225
method,0.8556713090
d,0.8546007182
using,0.8467385139
algorithm,0.8420742352
surface,0.8402468039
map,0.8290948523
dense,0.8064801298
range,0.8064800729
registration,0.7961590701
introduction,0.7799468149
machine,0.7792285271
extensible,0.7792270819
logic_programs,0.7783166662
estimation,0.7777512509
texture,0.7777491464
data_structures,0.7692903546
parallel,0.7656216511
applications,0.7653373703
theory,0.7645406810
interactive,0.7632748597
integrated,0.7632740597
environments,0.7632728334
surfaces,0.7623479942
basic,0.7605524909
disparity,0.7551847642
web_applications,0.7550495179
handling,0.7525338824
rules,0.7504697544
environment,0.7494308782
processes,0.7458960504
languages,0.7443606570
data_model,0.7443587656
durchges,0.7431456374
semantic,0.7427681529
open,0.7391642436
execution,0.7388295769
virtual,0.7377199544
rule,0.7365292198
organizational,0.7358741119
program,0.7358161228
uncertainty,0.7353178776
segmentation,0.7341963148
matching,0.7341616189
modules,0.7323334857
autonomous,0.7303825331
presentation,0.7298412093
survey,0.7287844900
methodology,0.7280186144
evaluation,0.7247370953
base,0.7231873044
functional,0.7230847818
implementation,0.7228238374
querying,0.7209209188
logical,0.7197174554
relational_database,0.7190780417
active,0.7171139847
oriented,0.7164814235
covers,0.7142596404
involved,0.7118486687
technologies,0.7115251267
architectures,0.7115234482
data_modeling,0.7111505015
relational,0.7103124049
planning,0.7091388824
programs,0.7062065958
communication,0.7043220588
concurrent,0.7030176974
robots,0.7023976155
object_oriented_programming,0.7003467371
abstraction,0.6997256144
supporting,0.6991543545
embedded,0.6979682726
query,0.6949921671
physical,0.6922284271
foundations_of,0.6920183138
reasoning,0.6916385244
database,0.6898112826
multimedia_databases,0.6888313089
logic_programming,0.6887976950
object_oriented,0.6883635965
systems,0.6880715965
principles,0.6872292013
scale,0.6869567333
compilers,0.6866366493
programming,0.6865153626
algebraic,0.6853029035
strategies,0.6829448085
specification,0.6826202996
memory,0.6821391761
natural_language,0.6814994125
verification,0.6813509596
scenes,0.6792035275
advanced,0.6783018088
design,0.6783002581
logic,0.6770364390
resource,0.6769389583
operational,0.6766583541
knowledge_based,0.6725733304
an_introduction_to,0.6722629601
product,0.6711425455
multiple_range_images,0.6709740424
surface_model,0.6708096649
maps,0.6692886689
reuse,0.6689922208
electronic,0.6676039615
based_on,0.6673439502
an_object_oriented,0.6672935542
dbms,0.6668467021
semantics,0.6666979006
data_mining,0.6666864665
paper_proposes,0.6661377137
constructing,0.6659713809
patch,0.6658692307
market,0.6657787416
text,0.6655801923
business,0.6653489101
